Date,"","","","","",""
2012-01-03,59.970001,61.060001,59.869999,60.330002,1.26688E7,52.619234999999996
2012-01-04,60.209998999999996,60.349998,59.470001,59.709998999999996,9593300.0,52.078475
2012-01-05,59.349998,59.619999,58.369999,59.419998,1.27682E7,51.825539
2012-01-06,59.419998,59.450001,58.869999,59.0,8069400.0,51.45922
2012-01-09,59.029999,59.549999,58.919998,59.18,6679300.0,51.616215000000004
2012-01-10,59.43,59.709998999999996,58.98,59.040001000000004,6907300.0,51.494109
2012-01-11,59.060001,59.529999,59.040001000000004,59.400002,6365600.0,51.808098
2012-01-12,59.790001000000004,60.0,59.400002,59.5,7236400.0,51.895315999999994
2012-01-13,59.18,59.610001000000004,59.009997999999996,59.540001000000004,7729300.0,51.930203999999996
2012-01-17,59.869999,60.110001000000004,59.52,59.849998,8500000.0,52.200581
2012-01-18,59.790001000000004,60.029999,59.650002,60.009997999999996,5911400.0,52.340131
2012-01-19,59.93,60.73,59.75,60.610001000000004,9234600.0,52.863447
2012-01-20,60.75,61.25,60.669998,61.009997999999996,1.03788E7,53.212320999999996
2012-01-23,60.810001,60.98,60.509997999999996,60.91,7134100.0,53.125104
2012-01-24,60.75,62.0,60.75,61.389998999999996,7362800.0,53.54375400000001
2012-01-25,61.18,61.610001000000004,61.040001000000004,61.470001,5915800.0,53.61353100000001
2012-01-26,61.799999,61.84,60.77,60.970001,7436200.0,53.177436
2012-01-27,60.860001000000004,61.119999,60.540001000000004,60.709998999999996,6287300.0,52.950665
2012-01-30,60.470001,61.32,60.349998,61.299999,7636900.0,53.465256999999994
2012-01-31,61.529999,61.57,60.580002,61.360001000000004,9761500.0,53.517590000000006
2012-02-01,61.790001000000004,62.630001,61.790001000000004,62.18,1.21306E7,54.232785
2012-02-02,62.400002,62.470001,61.82,61.939999,6211300.0,54.023458
2012-02-03,62.32,62.43,61.700001,62.029999,7727200.0,54.10195600000001
2012-02-06,61.849998,61.98,61.700001,61.880001,5480600.0,53.971129000000005
2012-02-07,61.619999,61.900002,61.619999,61.689999,6084400.0,53.805411
2012-02-08,61.91,62.02,61.23,61.619999,7260000.0,53.744358
2012-02-09,61.580002,62.16,61.580002,61.959998999999996,6453100.0,54.040903
2012-02-10,61.68,61.91,61.380001,61.900002,5501000.0,53.988572999999995
2012-02-13,62.009997999999996,62.080002,61.73,61.790001000000004,4175000.0,53.89263199999999
2012-02-14,61.91,62.240002000000004,61.790001000000004,62.220001,5173100.0,54.267674
2012-02-15,62.32,62.439999,61.59,61.759997999999996,5833700.0,53.866464
2012-02-16,61.77,62.189999,61.700001,62.040001000000004,7256400.0,54.110679000000005
2012-02-17,62.32,62.57,61.91,62.48,8191800.0,54.49444200000001
2012-02-21,60.330002,60.5,59.669998,60.07,2.38948E7,52.392464000000004
2012-02-22,59.580002,59.900002,58.369999,58.599998,2.86302E7,51.110343
2012-02-23,58.59,58.900002,58.209998999999996,58.540001000000004,1.48803E7,51.058014
2012-02-24,58.75,58.950001,58.5,58.790001000000004,9925900.0,51.276061
2012-02-27,58.700001,58.779999,58.290001000000004,58.459998999999996,1.22588E7,50.988237
2012-02-28,58.439999,59.099998,58.349998,58.93,1.07619E7,51.398167
2012-02-29,58.84,59.330002,58.720001,59.080002,1.14844E7,51.528997
2012-03-01,59.360001000000004,59.419998,58.639998999999996,58.82,1.62839E7,51.302226
2012-03-02,58.990002000000004,59.279999,58.799999,59.009997999999996,9848100.0,51.467940999999996
2012-03-05,58.959998999999996,59.59,58.75,59.400002,9651000.0,51.808098
2012-03-06,59.040001000000004,59.220001,58.75,58.970001,9057100.0,51.433056
2012-03-07,59.110001000000004,59.860001000000004,59.110001000000004,59.860001000000004,1.49169E7,52.209305
2012-03-08,59.84,59.950001,59.450001,59.77,7795600.0,52.479735999999995
2012-03-09,59.830002,60.200001,59.830002,60.080002,6292900.0,52.751926
2012-03-12,60.169998,60.900002,60.09,60.68,7576800.0,53.278741000000004
2012-03-13,60.93,61.080002,60.52,61.0,8734600.0,53.559709999999995
